characteristic_1	characteristic_2	characteristic_3	characteristic_4	characteristic_5
Я учительница.	Я люблю суши.	У меня есть хомяк.	Люблю вышивать крестиком.	У меня есть машина.	
Я кинолог	Я холост	У меня 3 собаки	Я люблю активный отдых	Хочу встретить свою любовь	
Моё хобби вязание	Увлекаюсь дизайном	Нет Высшего образования	Не люблю животных	Меломан	
У меня украли машину.	В поезде я забыл сумку документами.	От меня ушла жена.	Но со мной моя собака.	Я оптимист, и я счастлив..	
Я фармацевт	Живу с родителями	У меня 3 племянника	люблю астрологию	люблю смотреть на звезды	
Мне 30 лет.	Я работаю грузчиком.	Я учусь печь пирожные.	Я не умею плавать.	У меня есть кактус.	
Люблю шоколад.	У меня было три мужа.	С первым мужем встретилась в ОАЭ.	Боюсь зеркал.	Люблю зиму.	
Я студент.	У меня большая семья.	У меня есть два попугая.	Я люблю шоппинг .	Выращиваю цветы.	
Я знаю несколько языков.	Я пишу стихи.	У меня свой бизнес.	Я боюсь высоты.	Мне нравятся яхты.	
Я гейм-дизайнер.	У меня хорошее воображение.	Я люблю фильмы.	У меня есть собака.	Я меланхолик.	
Я пенсионерка	у меня трое внуков	люблю готовить	увлекаюсь макраме	мое хобби цветы	
я инженер	я езжу на велосипеде	у меня есть сестра	я люблю рисовать	я не был за границей	
Я продавец	У меня большая семья	Я хочу завести рыбок	Я люблю петь в караоке	У меня длинные волосы	
Я МАМА	У МЕНЯ ПЯТЬ МАЛЬЧИКОВ	Я ЖИВУ В БОЛЬШОМ ДОМЕ С СЕМЬЕЙ	Я люблю готовить	Я ЗАНИМАЮСЬ ТАНЦАМИ	
Мой сосед Макс.	Он маленький.	Он любит снег.	Он хорошо учиться.	Играет на гитаре.	
Я инженер.	Я люблю мясо.	У меня есть норковая шуба.	У меня есть права.	Хожу на курсы английского	
Я учитель физкультуры.	Железные нервы.	Слушаю тяжёлый рок.	Не женат.	Недавно закончил институт..	
Я мальчик 12 лет	У меня есть хомяк	Мечтаю стать ветеринаром	Учусь на пятерки	Хожу в кружок карате	
Ищу принца.	Веду активный образ жизни.	Люблю читать классику.	Выращиваю фиалки.	Люблю общение.	
я пенсионерка	живу активно	есть сестра	хочу в санаторий	не люблю кошек	
Я веселая,	Я дружелюбная	Я общительная	Я отзывчивая	Я любима	
Я президент государства	Я лысый	У меня есть три самолета	Моя жена моложе меня	Я гарант конституции	
Я пенсионер	Хочу найти пару соц сетях	Волонтер	Люблю путешествовать.	Мое хобби -рыбалка	
Я люблю компот.	У меня есть собаки.	Мои родители заводчане.	Я не видел снег.	Я стану депутатом.	
Я менеджер.	люблю вечеринки.	Сплю долго.	Люблю море и пляж.	Играю на гитаре.	
Люблю пранки и розыгрыши	Ненавижу такси	Я зооволонтер	У меня есть два лисенка	Обожаю запах бумаги	
Я военнослужащий	Я занимаюсь дзюдо	Я люблю охоту и рыбалку	Я играю на гитаре	Я люблю читать	
Я Мужчина.	У меня 3 брата.	Я не ем апельсины.	Я в выходные хожу в бассейн.	У меня нет животных.	
Я учусь в институте.	Люблю животных.	Хожу в клуб.	Люблю море.	Дружу с парнем из соседнего дома.	
Я домохозяйка.	У меня поздний ребёнок.	Я учу английский.	Я вкусно готовлю.	Я люблю мужа.	
моя мама психолог	я уехала в Италию	учусь на журналиста	люблю свежие персики	смотрю старое кино	
Я студентка	Я сама купила квартиру	У меня есть брат близнец	Я люблю мороженое	Я умею фехтовать	
Имею образование.	люблю петь в караоке.	Умею делать заколки.	У меня есть собака.	Не люблю готовить.	
Я банкир.	Я занимаюсь спортом.	Я люблю вечеринки.	Я катаюсь на велосипеде.	Я люблю вкусные блюда.	
Я проживаю в Москве.	Я дизайнер.	Я люблю рыбалку.	Мой рост метр семьдесят.	Я люблю гулять.	
Я филолог	Я люблю морских свинок	У меня большой дом	Я не умею готовить	Я люблю собирать грибы	
Я хорошо пеку торты	У меня двое сыновей	Я закончил школу	Я люблю общаться	Я женился на стюардессе	
Я писатель.	Я пишу мангу и ранобэ.	Я смотрю аниме.	Я люблю рисовать.	Я умею водить машину.	
Я доктор	Я люблю читать	Я живу с женой	У меня два ребенка	Я люблю приключения	
Мне 18 лет	Я влюблена в однокурсника	Занимаюсь английским	Мечтаю работать журналистом	Пишу стихи	
Я учитель.	Я люблю детей.	У меня розовый мотоцикл.	Я живу в пещере.	Иногда я устраиваю вечеринки.	
Я бухгалтер.	Я люблю библиотеки.	Я социопат.	Я взяла дом в ипотеку.	Я мечтаю выйти замуж.	
Я фотограф.	Люблю красивых людей.	Не чего не боюсь.	Люблю классно проводить время.	Жмот.	
Я школьник.	Я люблю информатику.	Мне нравится аниме.	Я хочу стать архитектором.	У меня две собаки.	
Я работаю учителем.	У меня большой дом.	У меня двое детей .	У меня есть кот.	Я люблю путешествовать.	
Я студентка.	Я люблю пиццу.	Я не люблю спорт.	Я люблю животных.	Я невысокого роста.	
хочу свою пасеку	обожаю рыбалку	у меня есть попугай	умею печь хлеб	отдыхаю в деревне	
Я врач	Я научился плавать	Есть жена и сын	Занимался пять лет каратэ	Учусь играть в шахматы	
Я ветеринар	Я люблю животных	У меня есть кошка	Я учу английский	Я не люблю чеснок	
Я учитель.	Я люблю читать книги.	Я не замужем.	Я люблю детей.	Я не умею готовить.	
Я живу в квартире	У большая семья.	Я люблю своих детей.	Я много читаю сказок.	Я люблю лето.	
Я играю в рок группе	люблю петь	У меня есть ребёнок	Я в разводе	Мечтаю о новой гитаре	
Я хожу в фитнес клуб.	Я хорошо пеку.	Я люблю фильмы.	Я хожу в кинотеатр.	У меня двое деток.	
Я Автоэлектрик.	Люблю рыбалку	У меня двое детей.	Люблю кататься на лыжах.	Обожаю отдых на природе.	
Я учительница	Я люблю книги	Я люблю море	Я люблю загорать	Мне нравятся коктейли	
Мне больше двадцати лет	У меня две сестры	Мой любимый цвет желтый	Я люблю лыжи	Нравится зима	
я инженер	я меня есть хорек	я люблю баню	я хорошо готовлю	я холост	
Я маляр.	Я женился в 40 лет.	Я люблю книги.	Я умею танцевать польку.	Я не умею жарить шашлык.	
Я водитель	Люблю очень сладкое	Имею большую семью	В семье я старший	Скоро женюсь	
Я сеошник	Я переехал в Москву в 20 лет	Я чертовски одинок	Я быстро думаю	Я люблю играть в теннис	
Я люблю танцевать	Я вегетарианка	Я бабушка в 45	Я люблю готовить	Я замужем	
я студент	работаю официантом в кафе	у меня есть девушка	я люблю кататься на сноуборде	люблю читать	
Я учусь в школе	Мне 14	Хочу стать врачом	Люблю ходить в музеи	У меня много друзей	
У меня двое детей	Я люблю прогулки	Я люблю детективы	Я люблю поспать	Я увлекаюсь бегом	
Я инженер.	Я торгую на бирже.	У меня дочь.	Я люблю снег.	У меня есть кошка.	
Я художник	Я увлекаюсь вязанием	Я люблю читать	Я встречаюсь с парнем	У меня есть сестра	
я художник.	люблю животных.	работаю в интернете.	люблю цветы.	вкусно готовлю.	
я уборщица	я имею пять дипломов	у меня есть дочь	я люблю путешествовать.	скоро у меня д/р	
Люблю рыбалку.	Живу на первом этаже.	Купил новый телефон.	Чиню часы.	Быстро плаваю.	
Я строитель	Я разведён	У меня два племянника	Я хорошо готовлю	Я играю в футбол	
я таксист	я работаю сутками	мне нравится пиво	я люблю воблу	я не люблю кошек	
Я боксер.	Выступал на Олимпийских играх.	Сейчас не работаю	Люблю путешествовать.	Хочу жениться.	
Я мужчина 36 лет.	У меня двое детей.	Мечтал стать гонщиком.	Отлично вожу.	Я хороший собеседник.	
Я работаю учителем.	Я мама.	Люблю путешествовать.	Мечтаю прыгнуть с парашютом.	Скоро еду на юг.	
Я мама	Развелась с мужем	Скоро у меня будет новоселье	Не люблю свою работу	Люблю колбасу с сыром	
я шахтер	я мечтаю стать певцом	люблю домашних животных	вчера ходил в гости	люблю текилу	
Я повар	Закончил универ с красным дипломом	Увлекаюсь живописью	Покупаю на днях мотоцикл	Люблю кошек	
Я еще учусь.	Буду врачом.	Хочу помогать людям.	Есть парень.	У нас будет семья.	
Я занимаюсь танцами.	Я студентка.	У меня есть парень.	Я мечтаю жить в Америке.	У меня есть кот.	
Я работаю в банке.	Мой муж строитель.	Люблю ездить быстро.	Я боюсь летать.	Люблю смотреть ужастики.	
Я бреюсь налысо.	У меня двое детей.	Я люблю печь торты.	Я помогаю животным в приюте.	Я фрилансер.	
У меня есть собака	Я бухгалтер	Я увлекаюсь рыбалкой	Я женщина	Я слежу за ситуацией стране	
Работаю проводником.	Люблю рыбачить.	Мне 35 лет.	У меня есть сын.	Занимаюсь благотворительностью.	
Обожаю кошек	Я все время читаю	Хочу открыть бизнес по производству леденцов на палочке	Подрабатываю аниматором на праздниках	Люблю детей	
Я трубач в оркестре	Окончил физтех	Умею вышивать	Я рыжий	Держу дома кота	
я реставратор	у меня есть муж	жду ребенка	перекрасила волосы в рыжий	сделала операцию на нос	
Я студентка.	Я подрабатываю.	Я хожу в бассейн.	У меня есть парень.	Я люблю суши.	
Знаю 2 языка.	Работаю в больнице.	люблю готовить.	Обожаю животных и детей.	Хочу объездить Европу.	
Я водитель.	Я холост.	У меня есть старший брат.	Я люблю бег.	Хочу приобрести компьютер	
я трудоголик	я люблю готовить	у меня две собаки хаски	я играю на гитаре	я люблю свою жену	
У меня много друзей.	Я умею стричь.	Я знаю китайский.	Я мечтаю стать врачом.	У меня есть хомяк.	
Я полицейский	Я люблю видеоигры	У меня есть собака	Я люблю читать книги	Я люблю путешествовать	
я студент	люблю свою девушку	хочу свою квартиру	играю на гитаре	не люблю животных	
Был толстым	Увлекаюсь моржеванием.	Купаюсь в проруби.	чувствую себя здоровым.	Скоро женюсь	
Я холерик.	У меня все плохо.	Я не люблю проблемы.	Я плохо учусь.	У меня 5 хомяков.	
Я балерина.	Я делю квартиру с родителями.	Я не замужем.	У меня есть собака.	Я люблю читать классику.	
я танцор.	У меня чёрные волосы.	У меня картера глаза.	Я не люблю бананы.	Я очень люблю танцевать	
Я люблю животных.	Я учусь на ветеринара.	У меня есть 3 кошки.	Я летаю в Турцию.	Я люблю боулинг.	
Я люблю кошек.	Я чувствительный.	Я умею слушать.	Я люблю общаться.	У меня два кота.	
Я волонтер.	Любимое время года- лето.	У меня очень много друзей.	Мое хобби - фотография.	Мой девиз - только вперед.	
Я учусь петь.	Живу за границей.	Вышиваю крестиком.	И хочу изменить весь мир.	А ещё у меня есть брат.	
Я работаю на заводе.	Я люблю кофе.	У меня 1 ребенок.	Я не люблю рыбалку.	Мне 56 лет.	
Я живу в деревне	Люблю парное молоко	Я имею три кота и собаку	У меня трое детей	Играю на гитаре	
Я не люблю кисель.	У меня сердце справа.	Я купил велосипед.	Я учусь на юриста.	Я боюсь пауков.	
Я видеоблогер.	Я люблю собак.	У меня есть сестра.	Я мечтаю стать музыкантом.	Я никогда не курил	
я домохозяйка	у меня двое детей	я обожаю шопинг	мне нравится готовить	я мечтаю отдохнуть в Праге	
Я домохозяйка.	Живу с мужем и родителями.	У меня есть собака.	Я беременна.	Хочу на море	
Я кулинар.	У меня три дочери.	Я хорошо плавать.	Люблю шопинг.	Мечтаю поехать в Париж.	
Я живу в деревне	Я люблю отдыхать на пляже	Я люблю овощи	Я люблю вязать	Я мечтаю стать моделью	
Я сладкоежка.	Я буду поваром.	Я продам машину.	У меня есть хомяк.	Я боюсь собак.	
Я работаю в школе	Есть муж и трое детей	Изучаю языки	Увлекаюсь рыбалкой	Интересуюсь живописью	
Я врач	У меня есть муж и дочка	Я люблю готовить	Недавно я сильно болела	Мне нравятся детективы	
Веселая девушка.	Работаю кондитером.	Не замужем.	Коллекционирую кактусы.	Люблю путешествовать.	
я учу английский.	я работаю флористом.	я люблю цветы.	я неплохо готовлю.	я хочу на море.	
Черный пояс по каратэ.	Был в армии	2 командировке в Ирак.	Вожу такси.	В школе учился плохо.	
Я спортсмен.	Занимаюсь хоккеем.	Я люблю вкусно есть.	Я увлекаюсь авто.	У меня много интересов.	
Я студентка	Я живу отдельно от родителей	Я подрабатываю в кафе	Я стройная	Я очень веселая девушка	
Я мама двойняшек.	Я хочу стать актрисой.	У меня есть собака.	Я люблю пить кофе.	Я мечтаю о сфинксе.	
У меня красные волосы	Я замужем	Я люблю слушать музыку	Я хорошо готовлю	Я живу на десятом этаже	
я слесарь	работаю на заводе	женат на любимой женщине	денег хватает	две дочери	
Я учусь в институте.	В школе меня часто били	Мои родители состоятельные люди.	И я часто путешествую.	Я свободно общаюсь с иностранцами.	
Я бухгалтер.	Вышла замуж за друга.	У меня русые волосы.	Я люблю плавать.	Я не люблю зиму.	
Я хожу в походы.	У меня есть черепаха.	Я люблю фантастику.	Я не умею готовить.	Я терял паспорт.	
Я работаю водителем	Я не пью	У меня есть своя машина	У меня трое детей	У меня есть усы	
Я инвалид.	Я люблю вышивать.	Люблю книги Стивена Кинга.	Я очень люблю есть бананы.	Ненавижу киви.	
У меня есть кот	Я финансовым директором	Люблю играть в доту	плаваю на байдарке	Люблю путешествовать	
Я переводчик.	Я разведен.	У меня карие глаза.	Я играю на баяне.	У меня есть дача.	
Я собираю марки	У меня есть велосипед	Я умею шить	У меня есть дочь	Я люблю готовить	
Я играю в шахматы	Я боюсь пауков.	Уже месяц я влюблен	Моя сестра мелкая	Я вчера сдал экзамен.	
Я водитель трамвая.	У меня шесть детей.	У меня есть попугай.	Мечтаю покорить Эверест.	Собираю марки.	
Я сеошник.	Работаю оптимизатором.	У меня две кошки.	Я люблю картошку.	Не женат.	
Я преподаватель	Люблю изучать языки	Я не люблю томаты	Люблю смотреть старые фильмы	Есть дочь	
Я психолог	Я замужем	У меня пять кошек	Я очень вкусно готовлю	Я люблю читать книги	
Я Ангелина.	Работаю массажисткой.	Люблю мужчин.	Хочу на море.	Люблю восходы.	
Я автомеханик.	Я учился на инженера.	У меня две машины.	Я люблю пиво..	Я кормлю бездомных собак.	
Я водитель такси.	Я люблю свою работу.	У меня есть жена.	Я живу в частном доме.	У меня одна собака.	
Я говорю по-китайски.	У меня есть кролик.	Я живу с женой.	Я люблю велосипеды.	У меня нет машины.	
Я банкир.	Я женат.	У меня двое детей.	Я люблю путешествовать.	Я фанат рока.	
Я домохозяйка.	У меня есть рыжий кот.	Я люблю печь.	Я хорошо плаваю.	Я увлекаюсь косметологией.	
Я Ева.	У меня есть муж.	Люблю свою работу.	Хочу татуировку.	Люблю украшения.	
Работаю на себя.	Люблю гулять в парке.	Живу в центре города.	Не люблю шум.	Мечтаю переехать.	
Я врач.	У меня есть муж.	У нас трое детей.	Я хорошо готовлю плов.	Я хожу плавать в бассейн.	
Я рисую граффити	Люблю слушать рэп	Я постоянно путешествую	Мой любимый торт киевский	Я сладкоежка	
сплю на диване	играю в домино	романтичная	гибкая	плаваю	
Я продавец.	Я замужем.	У есть собака.	Я люблю слушать рок.	люблю готовить пироги.	
Я студент	Учусь в политехе	Играю на гитаре	Люблю песни Высоцкого	Много друзей	
Я школьница.	Я изучаю английский язык.	У меня синие глаза.	Я занимаюсь плаванием.	Я люблю майнкрафт.	
Я не замужем.	Я работаю на складе.	Я живу с мамой.	Я мечтаю жить отдельно.	У меня лишний вес.	
Мои родители пенсионеры.	У меня есть кот	У меня двое детей.	Я даю деньги нищим	Я работаю охранником	
Я умный человек	Я люблю музыку	Я увлекаюсь дизайном	Я немного циничный	Я энергичен	
Я женщина.	Я не работаю.	У меня есть муж.	Я люблю готовить.	Люблю вкусно покушать.	
Я очень красивая.	Я люблю тирамису.	Я окончила музыкальную школу.	А теперь у меня потрясающий маникюр.	Я мечтаю стать певицей.	
я техничка	я мою полы	мне не нравится работа	я ищу себя	мой дядя директор	
Учусь в колледже.	Занимаюсь боксом.	Я геймер.	Люблю вкусную еду.	У меня есть кролики.	
Я учительница математики	Люблю детей	Я разведена	Мое хобби - катание на лошадях	Я хорошо готовлю	
у меня есть внедорожник	я родился в Ярославле	плаваю с детства	люблю маму	мечтаю найти сокровища	
Я амбициозный	Хочу работать депутатом	Люблю умных девушек	Люблю советские комедии	Хожу в спортзал	
Я сын дипломата.	Я люблю ходить в клубы.	У меня есть авто.	Я люблю горы.	Я люблю бокс.	
Я - строитель	Сам построил свой дом	Имею много друзей	Не женат	Я-романтик	
Я не люблю орехи.	Я учу английский.	Я работаю библиотекарем.	Живу с крысой.	Мечтаю о космосе.	
Я живу в Геленджике.	Работаю в кафе.	У меня есть внучка.	Купил машину.	Составляю кроссворды.	
я играю в футбол	я фанат футбола	у меня есть автографы	я по утрам бегаю	я смотрю новости	
Я парикмахер	Люблю отдых за границей	Занимаюсь теннисном	Прыгаю с парашютом	Не женат	
Я стану писателем.	Я разбираюсь в вине.	Я видел НЛО.	Я бегаю марафон.	Я боюсь насекомых.	
я военный	люблю заниматься огородом	у меня 5 собак.	люблю сочинять стихи и песни.	живу в деревню.	
Я работаю поваром.	Я живу в частном доме.	У меня трое детей.	Я люблю фрукты.	Я обожаю рыбалку.	
Я повар.	У меня есть семья.	Я мечтаю открыть кафе.	Я люблю попугаев.	Скоро у меня будет отпуск.	
Я люблю рисовать.	У меня 5 котов.	Обожаю кино.	Работаю фрилансером.	Без ума от китайской кухни.	
Я строитель.	Я женился на подруге.	У меня есть байдарка	Я хорошо пою.	Я люблю слушать музыку.	
Я блогер.	Я делаю видосики на Ютубе.	Я умею фотошопить.	Я хорошо знаю 3 языка.	Я не плохо пою.	
я инженер	строю дома	люблю кошек	живу на ул. Ленина	я учусь в академии	
Я учитель	Я жаворонок	Я очень люблю читать	Я создала крепкую семью	Я хорошо пою	
Я люблю компании.	Я обожаю кино.	Я не люблю скуку.	Открыта для всего нового.	Я мечтаю объезд	
Я студентка.	Я занималась танцами 10 лет.	Мне нравится готовить.	Я очень люблю роллы.	Я не курю.	
Я парашютист	Я летаю на самолёте	Я большой	Я хорошо катаюсь на роликах	У меня маленькие глаза	
Я люблю петь.	Я учитель.	Я замужем, и у меня трое детей.	Умею печь торты.	Имею три кота.	
У меня есть кошка.	Люблю играть на пианино.	Играю в Doty2.	Занимаюсь йогой.	Слушаю классику	
Я домохозяйка.	У меня двое детей.	Я люблю готовить.	Я много ем.	Я умею шить.	
Я фармацевт.	Люблю спорт.	Обожаю разные фрукты.	У меня есть собака.	Катаюсь на роликах.	
Я спортивный человек.	Люблю зарядку.	Езжу на велосипеде	Рисую пейзажи.	У меня много друзей.	
Я очень красив	Я люблю подиум	Я модель	Я танцую	Я очень хорош	
Я водитель	Я охотник	Я семьянин	Я мастер	Я садовод	
Я художник.	Есть две черепахи.	У меня много братьев и сестёр.	Много путешествую.	Люблю лазанью.	
Я люблю грустный реп	Моя мечта-отдых	У меня есть черепаха	Я пеку блины	Мой папа мер	
я начальник	люблю одиночество	играю в футбол	занимаюсь рыбалкой	люблю вкусно кушать	
Я школьник.	Люблю учиться.	Уроки делаю вечером.	У меня хорошие друзья.	Хобби - синтезатор.	
Я студент	У меня большая семья	Люблю итальянскую кухню	Живу в общежитии	Часто хожу в кино	
Я люблю суши.	У меня есть змея.	Я часто крашу волосы.	У меня есть дача.	Я соня.	
Я сторонник ЗОЖ.	Я выращиваю кресс-салат.	Я гуляю вечером.	У меня нет телевизора.	Я не женат.	
Я мужчина 40 лет.	У меня свои рестораны.	Люблю путешествовать.	У меня жена и 3 детей.	Люблю обезьян.	
Я люблю гулять.	Я учу итальянский.	Я хочу кучу денег.	Я хочу замуж.	Я не хочу умирать.	
Я продавец.	Я люблю рисовать.	У меня есть сын.	Я живу в доме.	У меня есть огород.	
У меня двое детей.	Дочка ходит в сад.	Моя мама лучшая	Я хочу поехать на море .	У меня муж инвалид.	
Я программист.	Я женат.	Я обожаю Оливье	Я играю в страйкбол.	Я скоро стану дядей	
Я не хочу умирать.	Мой кот лысый.	Я красивая.	Мой парень гей.	У меня есть айфон.	
У меня живут рыбки	Я владею английским языком	Я люблю выпекать	Я врач	У меня две дочери	
Я врач	У меня есть две кошки	Я люблю походы	Я люблю свою работу	Я счастлива	
Я сантехник	Я хочу стать инженером	Я играю в баскетбол	У меня есть невеста	У меня есть попугай	
Я агент.	Я люблю ездить..	У меня есть брат.	Я люблю шахматы.	Стрельба мое хобби.	
Я мама.	Я люблю путешествовать.	Я мечтаю о большом доме.	У меня 3 кредита.	Мой муж меня любит.	
Мне 15 лет.	Я слушаю разную музыку.	Ем японскую еду.	Не люблю фастфуд.	Занимаюсь активно спортом.	
Я женат.	Увлекаюсь лепкой из глины.	Я слушаю металл.	Тренируюсь бою на мечах.	Изучаю историю.	
Я играю на блок-флейте.	Я не люблю классику.	Я выиграл в лотерею.	Я люблю комиксы.	Я ленивый.	
Я монтажник.	Я люблю крыс.	Я умею воровать.	Я мечтаю посетить Париж.	У меня 10 собак.	
Я мама в декрете	У меня дочь	люблю готовить	По образованию я учитель	Люблю танцевать и петь	
я организатор свадеб	я замужем и двое детей	люблю петь	хорошо готовлю	хочу прыгнуть с парашютом	
Я парень мне 16.	У меня есть 3 сестры	Я много читаю.	Я хочу стать психологом.	У меня много друзей.	
Я снимаю квартиру.	Я люблю читать книги.	Я люблю мясо.	Я мечтаю о семье.	Я занимаюсь гимнастикой.	
Я администратор.	Я люблю кино.	У меня дреды.	Я хочу детей.	Я люблю сладкое.	
Я инженер.	У меня две кошки.	Люблю что-то мастерить.	Мне 30.	Хочу найти любовь.	
Я лежу в больнице	У меня прыщ	У меня скоро юбилей	Я хочу быть здоровым	Не люблю грейпфрут	
я медсестра	У меня 2 детей	Люблю свою работу	Я хорошо пеку пироги	Люблю мечтать о прекрасном	
Я строитель.	Женат на однокласснице.	Я собираю марки.	У меня есть три кошки.	Мечтаю построить дачу.	
Я студентка!	Люблю веселые компании!	У меня много друзей!	Мечтаю о любимом человеке!	Боюсь пауков!	
Я художник	Люблю путешествовать	Люблю пить пиво	Живу в свое удовольствие	Не в чем себе не отказываю	
Я люблю читать книги.	У меня большая семья.	Я работаю в интернет магазине.	Я хороший человек.	Я весело провожу время.	
я кальянщик	у меня есть девушка	отслужил в армии	моя тетя вышла замуж	работаю в кафе	
Я школьник.	Я люблю компьютерные игры.	Я люблю физику.	Я люблю читать.	Я мечтаю стать лётчиком.	
Я наркоман	Люблю себя	Люблю фото котиков.	Мне не нравятся люди.	Призираю мелких собак.	
Я юрист.	Я люблю классическую музыку.	Я левша.	У меня аллергия на пыльцу.	Я люблю кататься на лыжах.	
Я школьник.	Я не люблю физру	У меня три сестры.	Я хочу стать депутатом.	Я слушаю реп.	
Мне за тридцать	Люблю своего мужчину	У меня есть щенок.	Мне идут джинсы	Я люблю азиатскую косметику	
Я хирург	Я люблю активный отдых.	Я пишу стихи.	Я женат.	У меня два сына.	
Я студент.	Я не люблю учиться.	Я буду программистом.	У меня много друзей.	Я люблю гулять.	
Обожаю собак	мечтаю о собственном кафе	работаю в сфере обслуживания	общительный человек	люблю юмор	
Я работаю инженером	У меня три собаки.	У меня трое детей.	Я люблю отдых.	Летом уезжаю на море	
Я инженер.	Слушаю классическую музыку.	Люблю галстуки-бабочки.	Разбираюсь в винах.	Артистичен.	
Я охотник	люблю петь	Любимая певица Тина Кароль	Хочу жить в городе	У меня есть 2 детей	
Я учусь на врача	Я люблю играть на гитаре	У меня не было отца	У меня карие глаза	У меня нет девушки	
Я отдыхаю раз в год за границей	Люблю русскую кухню	Люблю праздники	Слушаю музыку	Выращиваю виноград	
У меня синие глаза	Я высокого роста	Я люблю оригами	Я не люблю баскетбол	Я люблю оранжевый цвет	
Я дизайнер.	У меня есть муж и дочь.	Я хожу на выставки.	Я посещаю семинары.	Я жаворонок.	
Я бизнесмен.	У меня свой автопарк.	Я холост.	Люблю бегать.	Мне 28.	
Я брюнетка.	У меня спортивная фигура.	Я люблю кошек.	Люблю путешествовать.	Люблю щедрых мужчин.	
Я бизнесмен	Я люблю автомобили	Я люблю путешествовать	Я люблю собак	Я играю на гитаре	
Я работаю	Мое любимое число семь	Люблю ночные прогулки	Люблю слушать музыку	Обожаю путешествовать	
Я занимаюсь спортом	У меня много друзей	Я хожу в походы	Я люблю читать	У меня большая семья	
Я люблю животных	Я занимаюсь танцами	Я люблю лето	Я хочу на море	У меня есть духи	
Я люблю активный отдых	Я влюбчивая	Я работаю фельдшером	Я люблю животных	Я мечтаю о большом доме	
Я администратор	Мой отец из княжеского рода	Я люблю отдыхать	Я хорошо шью	У меня дочь	
Я педагог	Я хочу лыжи	У меня икота	Я хочу быть совой	Я куплю киви	
Мне двенадцать лет.	Я хочу быть врачом.	У меня есть попугай.	Я живу в Пензе.	Не люблю когда врут.	
Мне 40 лет.	Я домохозяйка.	У меня есть муж.	Люблю вышивать крестиком.	Мечтаю съездить в Крым.	
Я играю на скрипке.	Я хорошо пою.	Я футболист.	Я помогаю родителям.	Я люблю садоводство.	
Я люблю роллы.	Моя жена из Англии.	Я играю на фортепиано.	Я мечтаю путешествовать.	Я люблю спорт.	
Я развожу цветы	у меня четверо внуков	чтение-мое хобби	Пушкин -мой поэт	Я осваиваю компьютер	
Я люблю гулять.	Мото моя страсть.	Я люблю фантастику.	У меня на шерсть.	У меня чудесная жена.	
у меня 3е детей	люблю шумные компании	занимаюсь баскетболом	меня аллергия на собак	обожаю суши	
обожаю автомобили	женат, двое детей	собираю марки	помогаю бездомным	люблю гулять с друзьями	
Я мама двух детей.	Я люблю петь в караоке.	Я домохозяйка.	Я люблю цветы.	У меня есть собака.	
Я повар.	У меня есть кошка.	Я люблю печь пироги.	У меня много друзей.	Я люблю ходить в кино.	
Я переводчик.	Люблю вкусно поесть.	Я хочу научиться плавать.	Я боюсь темноты.	Я люблю танцы.	
Я пенсионер	Люблю играть в домино	МЫ с женой 30 лет вместе	У меня есть огород	Я люблю рыбалку	
Я кинокритик.	Я люблю читать.	У меня три кошки.	Я люблю вкусно покушать.	Я изучаю японский язык.	
я музыкант	я чертовски привлекателен	я каждый день хожу гулять в парк	я сладкоежка	я люблю читать	
я учитель	я люблю вышивать	замужем уже три года	я живу двухкомнатной квартире	я люблю смотреть тв	
Я программист.	Я люблю кофе.	У меня есть брат.	Я никогда не видел слонов.	Я мечтаю стать дизайнером.	
Я психолог.	У меня муж и двое детей.	Люблю шить костюмы.	Я люблю собак.	Мечтаю посмотреть мир.	
Я кондитер	Я замужем	Я пеку шедевры на заказ	Я танцую фламенко	Я люблю петь	
Я тракторист.	У меня есть синий трактор.	Работаю в сельпо.	Люблю борщ.	У меня есть дочка.	
Я дизайнер.	Я люблю гулять по парку.	Я играю на гитаре.	У меня есть собака.	Я играю онлайн игры.	
Зарабатываю 5000$ в месяц.	Не люблю нытиков.	Являюсь отцом 6 детей.	В разводе.	Люблю хорошую пищу.	
Я люблю фастфуд	Я не умею готовить	Я живу один	Я люблю спать днем	Я работаю барменом	
Я врач	я замужем	у меня есть дети	я люблю готовить	я люблю путешествовать	
Директор турфирмы.	Люблю детей.	Катаюсь на сноуборде.	Люблю звонить по ночам.	Хочу покорить Эверест.	
люблю мороженное с малиной	у меня картавость	не умею плавать	ходила в муз. школу	мама фитнес-тренер	
Я архитектор.	У меня 5 сестер.	Я ездил на море в Новый Год.	Я скоро женюсь.	Я езжу на велосипеде.	
Я люблю аниме.	Я хочу уехать в США.	Мои родители фермеры.	Я люблю политику США.	Я люблю клубнику.	
я не женат	у меня четыри дяди	я готовлю макороны	я занимаюсь плаванием	я стропальщик	
Я электрик.	Я позитивный.	Мне нравится готовить.	Я занимаюсь спортом.	Я люблю помидоры.	
Я Оля.	Люблю цветы.	Люблю живопись.	Встречаюсь с Мишей.	Я выхожу замуж.	
Я люблю кушать.	Я хожу в сад.	У меня есть сестра.	Я очень люблю рисовать.	Я мечтаю уехать.	
Я люблю пиво.	Я обожаю свою собаку.	У меня трое детей.	Я работаю на 5 работах.	Я занимаюсь футболом.	
Я учительница.	Я люблю музыку.	Я вдова.	У меня две собаки.	Я еду отдыхать на Бали.	
